Option_No,College_Code,Course_Name,Course_Fee,College_Name,College_Name_Clean,rank
4,E048AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,"1,12,410 - One Lakh Twelve Thousand Four Hundred and Ten","B M S College of Engineering, Basavanagudi, Bangalore (AUTONOMOUS) POST BOX NO 1908, BULL TEMPLE ROAD,BANGALORE",B M S College of Engineering,2303
5,E048DS,COMPUTER SCIENCE AND ENGINEERING(DATA SCIENCE),"1,12,410 - One Lakh Twelve Thousand Four Hundred and Ten","B M S College of Engineering, Basavanagudi, Bangalore (AUTONOMOUS) POST BOX NO 1908, BULL TEMPLE ROAD,BANGALORE",B M S College of Engineering,2888
6,E048IC,COMPUTER SCIENCE AND ENGG(INTERNET OF THINGS & CYBER SECURITY INCLUDING BLOCK CHAIN TECH),"1,12,410 - One Lakh Twelve Thousand Four Hundred and Ten","B M S College of Engineering, Basavanagudi, Bangalore (AUTONOMOUS) POST BOX NO 1908, BULL TEMPLE ROAD,BANGALORE",B M S College of Engineering,2888
7,E048CB,COMPUTER SCIENCE AND BUSINESS SYSTEMS,"1,12,410 - One Lakh Twelve Thousand Four Hundred and Ten","B M S College of Engineering, Basavanagudi, Bangalore (AUTONOMOUS) POST BOX NO 1908, BULL TEMPLE ROAD,BANGALORE",B M S College of Engineering,2888
8,E048EC,ELECTRONICS AND COMMUNICATION ENGG,"1,12,410 - One Lakh Twelve Thousand Four Hundred and Ten","B M S College of Engineering, Basavanagudi, Bangalore (AUTONOMOUS) POST BOX NO 1908, BULL TEMPLE ROAD,BANGALORE",B M S College of Engineering,3140
11,E005ME,MECHANICAL ENGINEERING,"1,12,410 - One Lakh Twelve Thousand Four Hundred and Ten","R. V. College of Engineering, Bangalore(AUTONOMOUS) R.V. VIDYANIKETAN POST, MYSORE ROAD,BANGALORE",R. V. College of Engineering,3373
10,E005BT,BIO-TECHNOLOGY,"1,12,410 - One Lakh Twelve Thousand Four Hundred and Ten","R. V. College of Engineering, Bangalore(AUTONOMOUS) R.V. VIDYANIKETAN POST, MYSORE ROAD,BANGALORE",R. V. College of Engineering,3444
13,E007AI,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,"1,12,410 - One Lakh Twelve Thousand Four Hundred and Ten","Dayananda Sagar College of Engineering, Bangalore(AUTONOMOUS) SHAVIGE MALLESHWARA HILLS, KUMARASWAMY LAYOUT, BANGALORE-560078",Dayananda Sagar College of Engineering,4783
14,E006SE,AERO SPACE ENGINEERING,"1,12,410 - One Lakh Twelve Thousand Four Hundred and Ten","M S Ramaiah Institute of Technology, Bangalore(AUTONOMOUS) VIDYA SOUDHA,MSR NAGAR,MSRIT POST,BANGALORE - 560054.",M S Ramaiah Institute of Technology,4881
16,E007IE,INFORMATION SCIENCE AND ENGINEERING,"1,12,410 - One Lakh Twelve Thousand Four Hundred and Ten","Dayananda Sagar College of Engineering, Bangalore(AUTONOMOUS) SHAVIGE MALLESHWARA HILLS, KUMARASWAMY LAYOUT, BANGALORE-560078",Dayananda Sagar College of Engineering,5637
12,E007DS,COMPUTER SCIENCE AND ENGINEERING(DATA SCIENCE),"1,12,410 - One Lakh Twelve Thousand Four Hundred and Ten","Dayananda Sagar College of Engineering, Bangalore(AUTONOMOUS) SHAVIGE MALLESHWARA HILLS, KUMARASWAMY LAYOUT, BANGALORE-560078",Dayananda Sagar College of Engineering,6382
17,E007IC,COMPUTER SCIENCE AND ENGG(INTERNET OF THINGS & CYBER SECURITY INCLUDING BLOCK CHAIN TECH),"1,12,410 - One Lakh Twelve Thousand Four Hundred and Ten","Dayananda Sagar College of Engineering, Bangalore(AUTONOMOUS) SHAVIGE MALLESHWARA HILLS, KUMARASWAMY LAYOUT, BANGALORE-560078",Dayananda Sagar College of Engineering,6382
15,E007CY,COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),"1,12,410 - One Lakh Twelve Thousand Four Hundred and Ten","Dayananda Sagar College of Engineering, Bangalore(AUTONOMOUS) SHAVIGE MALLESHWARA HILLS, KUMARASWAMY LAYOUT, BANGALORE-560078",Dayananda Sagar College of Engineering,6382
18,E007CD,COMPUTER SCIENCE AND DESIGN,"1,12,410 - One Lakh Twelve Thousand Four Hundred and Ten","Dayananda Sagar College of Engineering, Bangalore(AUTONOMOUS) SHAVIGE MALLESHWARA HILLS, KUMARASWAMY LAYOUT, BANGALORE-560078",Dayananda Sagar College of Engineering,6382
1,E009BW,B TECH IN COMPUTER SCIENCE AND ENGINEERING,"1,12,410 - One Lakh Twelve Thousand Four Hundred and Ten","PES University 100 Feet Ring Road, Banashankari, 3rd Stage, Hosakerehalli, Near DSERT, , Bangalore KARNATAKA, pin code -560085",PES University 100 Feet Ring Road,8940
